CHR	START	END	N_MRK	THETA_S	THETA_PI	THETA_L	TAJIMA_D	FAY_WU_H	ZENG_E
NC_053451.1	0	50000	564	128.329160019957	87.8463768115939	70.8666666666673	-1.16198783230932	0.464780214092949	-1.56049359905598
NC_053451.1	50000	1e+05	733	166.782401231611	100.241545893719	88.7111111111121	-1.47145192685226	0.243240702064558	-1.63608092735752
NC_053451.1	1e+05	150000	719	163.596925628279	100.540096618357	85.2222222222229	-1.42144166095971	0.329396304426525	-1.6741033692924
NC_053451.1	150000	2e+05	838	190.673468256603	120.157487922705	105.711111111112	-1.36469678803379	0.266748527042641	-1.5592986791775
NC_053451.1	2e+05	250000	900	204.780574499931	115.674396135265	97.3111111111124	-1.6060871598448	0.315817227393121	-1.83757210991551
NC_053451.1	250000	3e+05	803	182.709779248272	103.35845410628	100.88888888889	-1.60236324668191	0.0475776514655983	-1.56651378066317
NC_053451.1	3e+05	350000	861	195.906749604934	106.784541062801	88.9333333333346	-1.6788756388056	0.320853045187163	-1.91125376385911
NC_053451.1	350000	4e+05	888	202.050166839932	130.83768115942	113.08888888889	-1.30084835796979	0.309355655554689	-1.5414990482911
NC_053451.1	4e+05	450000	756	172.015682579942	100.083091787439	86.0000000000009	-1.54248744651851	0.288099003066512	-1.74824245486122
NC_053451.1	450000	5e+05	1099	250.059834861582	134.530434782608	117.266666666669	-1.70636103938374	0.243338560212855	-1.86210995563222
NC_053451.1	5e+05	550000	1122	255.293116209914	135.997101449275	119.222222222224	-1.72597476455991	0.231617621682571	-1.86920847243996
NC_053451.1	550000	6e+05	935	212.744263508262	109.610628019323	94.733333333335	-1.78957037581587	0.246326762440634	-1.94286039722448
NC_053451.1	6e+05	650000	1021	232.312185071588	127.723671497584	106.800000000002	-1.6624179874037	0.317370015328729	-1.89352535215944
NC_053451.1	650000	7e+05	221	50.2850077383172	31.2318840579711	28.2	-1.38391283493986	0.209543943707492	-1.50162057065287
NC_053451.1	7e+05	750000	380	86.4629092333051	49.1739130434781	43.177777777778	-1.58436058537231	0.242787031690809	-1.73415355201237
NC_053451.1	750000	8e+05	1010	229.809311383256	116.389371980676	94.644444444446	-1.82236589181626	0.333404942185682	-2.06120054995192
NC_053451.1	8e+05	850000	1260	286.692804299907	145.405797101448	138.022222222224	-1.82081279290893	0.0908173531497861	-1.81988543724241
NC_053451.1	850000	9e+05	853	194.086477831601	103.609661835748	94.2222222222234	-1.72032019672456	0.170302560793749	-1.80083071823323
NC_053451.1	9e+05	950000	998	227.078903723257	111.526570048308	104.000000000002	-1.87888243704036	0.116783527013478	-1.89930128786196
NC_053451.1	950000	1e+06	1023	232.767253014921	121.181642512077	108.866666666668	-1.77017879020716	0.186429638597491	-1.86558335951503
NC_053451.1	1e+06	1050000	483	109.898908314964	60.3120772946857	59.1777777777781	-1.6604637017558	0.0362135188226911	-1.60504034496086
NC_053451.1	1050000	1100000	796	181.117041446606	91.7111111111104	84.2000000000011	-1.82121322704397	0.145972288531565	-1.87171066811317
NC_053451.1	1100000	1150000	745	169.51280889161	84.7304347826081	72.0444444444454	-1.84476330792123	0.263329934607236	-2.00998486151971
NC_053451.1	1150000	1200000	709	161.321585911613	75.540096618357	65.2888888888895	-1.96086034934365	0.223534399086462	-2.0799241445449
