chrom	start	end	bp
NC_053451.1	0	1000000	90292
NC_053451.1	1000000	2000000	81501
NC_053451.1	2000000	3000000	48127
NC_053451.1	3000000	4000000	14514
NC_053451.1	4000000	5000000	89556
NC_053451.1	5000000	6000000	69366
NC_053451.1	6000000	7000000	6349
NC_053451.1	7000000	8000000	2504
NC_053451.1	8000000	9000000	19473
NC_053451.1	9000000	10000000	282
NC_053451.1	10000000	11000000	6226
NC_053451.1	11000000	12000000	12574
NC_053451.1	12000000	13000000	32016
NC_053451.1	13000000	14000000	4163
NC_053451.1	14000000	15000000	16782
NC_053451.1	15000000	16000000	27824
NC_053451.1	16000000	17000000	102058
NC_053451.1	17000000	18000000	97353
NC_053451.1	18000000	19000000	39423
NC_053451.1	19000000	20000000	12801
NC_053451.1	20000000	21000000	75826
NC_053451.1	21000000	22000000	74666
NC_053451.1	22000000	23000000	52314
NC_053451.1	23000000	24000000	41879
NC_053451.1	24000000	25000000	16702
NC_053451.1	25000000	26000000	62697
NC_053451.1	26000000	27000000	90389
NC_053451.1	27000000	28000000	79495
NC_053451.1	28000000	29000000	164887
NC_053451.1	29000000	30000000	79812
NC_053451.1	30000000	31000000	106498
NC_053451.1	31000000	32000000	106475
NC_053451.1	32000000	33000000	2068
NC_053451.1	33000000	34000000	17285
NC_053451.1	34000000	35000000	31194
NC_053451.1	35000000	36000000	47985
NC_053451.1	36000000	37000000	50356
NC_053451.1	37000000	38000000	21566
NC_053451.1	38000000	39000000	78214
NC_053451.1	39000000	40000000	7630
NC_053451.1	40000000	41000000	24612
NC_053451.1	41000000	42000000	58460
NC_053451.1	42000000	43000000	41543
NC_053451.1	43000000	44000000	81394
NC_053451.1	44000000	45000000	81415
NC_053451.1	45000000	46000000	43628
NC_053451.1	46000000	47000000	91687
NC_053451.1	47000000	48000000	80378
NC_053451.1	48000000	49000000	70438
NC_053451.1	49000000	50000000	66452
NC_053451.1	50000000	51000000	20086
NC_053451.1	51000000	52000000	46948
NC_053451.1	52000000	53000000	51431
NC_053451.1	53000000	54000000	78953
NC_053451.1	54000000	55000000	83623
NC_053451.1	55000000	56000000	40816
NC_053451.1	56000000	57000000	43587
NC_053451.1	57000000	58000000	55497
NC_053451.1	58000000	59000000	7544
NC_053451.1	59000000	60000000	1292
NC_053451.1	60000000	61000000	10603
NC_053451.1	61000000	62000000	11014
NC_053451.1	62000000	63000000	.
NC_053451.1	63000000	64000000	2373
NC_053451.1	64000000	65000000	3966
NC_053451.1	65000000	66000000	4380
NC_053451.1	66000000	67000000	5865
NC_053451.1	67000000	68000000	29823
NC_053451.1	68000000	69000000	56474
NC_053451.1	69000000	70000000	16471
NC_053451.1	70000000	71000000	3916
NC_053451.1	71000000	72000000	2474
NC_053451.1	72000000	73000000	6353
NC_053451.1	73000000	74000000	7793
NC_053451.1	74000000	75000000	2094
NC_053451.1	75000000	76000000	1729
NC_053451.1	76000000	77000000	13681
NC_053451.1	77000000	78000000	60590
NC_053451.1	78000000	79000000	56255
NC_053451.1	79000000	80000000	25323
NC_053451.1	80000000	81000000	36604
NC_053451.1	81000000	82000000	6246
NC_053451.1	82000000	83000000	10091
NC_053451.1	83000000	84000000	47188
NC_053451.1	84000000	85000000	41098
NC_053451.1	85000000	86000000	75383
NC_053451.1	86000000	87000000	29824
NC_053451.1	87000000	88000000	75934
NC_053451.1	88000000	89000000	68099
NC_053451.1	89000000	90000000	24775
NC_053451.1	90000000	91000000	41873
NC_053451.1	91000000	92000000	53318
NC_053451.1	92000000	93000000	79769
NC_053451.1	93000000	94000000	30031
NC_053451.1	94000000	95000000	41835
NC_053451.1	95000000	96000000	16339
NC_053451.1	96000000	97000000	7061
NC_053451.1	97000000	98000000	9267
NC_053451.1	98000000	99000000	32628
NC_053451.1	99000000	100000000	31676
NC_053451.1	100000000	101000000	48470
NC_053451.1	101000000	102000000	47669
NC_053451.1	102000000	103000000	40945
NC_053451.1	103000000	104000000	49478
NC_053451.1	104000000	105000000	45357
NC_053451.1	105000000	106000000	42020
NC_053451.1	106000000	107000000	8653
NC_053451.1	107000000	108000000	4383
NC_053451.1	108000000	109000000	25749
NC_053451.1	109000000	110000000	6677
NC_053451.1	110000000	111000000	61768
NC_053451.1	111000000	112000000	46367
NC_053451.1	112000000	113000000	31760
NC_053451.1	113000000	114000000	77696
NC_053451.1	114000000	115000000	88960
NC_053451.1	115000000	116000000	42302
NC_053451.1	116000000	117000000	31014
NC_053451.1	117000000	118000000	39901
NC_053451.1	118000000	119000000	128368
NC_053451.1	119000000	119023421	4198
NC_053453.1	0	1000000	126981
NC_053453.1	1000000	2000000	25679
NC_053453.1	2000000	3000000	25411
NC_053453.1	3000000	4000000	52413
NC_053453.1	4000000	5000000	306
NC_053453.1	5000000	6000000	35785
NC_053453.1	6000000	7000000	96569
NC_053453.1	7000000	8000000	26525
NC_053453.1	8000000	9000000	16875
NC_053453.1	9000000	10000000	30411
NC_053453.1	10000000	11000000	19637
NC_053453.1	11000000	12000000	38518
NC_053453.1	12000000	13000000	55293
NC_053453.1	13000000	14000000	65025
NC_053453.1	14000000	15000000	89093
NC_053453.1	15000000	16000000	31181
NC_053453.1	16000000	17000000	3124
NC_053453.1	17000000	18000000	2372
NC_053453.1	18000000	19000000	30393
NC_053453.1	19000000	20000000	54323
NC_053453.1	20000000	21000000	13892
NC_053453.1	21000000	22000000	64933
NC_053453.1	22000000	23000000	53936
NC_053453.1	23000000	24000000	15156
NC_053453.1	24000000	25000000	51616
NC_053453.1	25000000	26000000	20205
NC_053453.1	26000000	27000000	34486
NC_053453.1	27000000	28000000	14942
NC_053453.1	28000000	29000000	40027
NC_053453.1	29000000	30000000	33628
NC_053453.1	30000000	31000000	49068
NC_053453.1	31000000	32000000	30093
NC_053453.1	32000000	33000000	13730
NC_053453.1	33000000	34000000	56414
NC_053453.1	34000000	35000000	43469
NC_053453.1	35000000	36000000	61936
NC_053453.1	36000000	37000000	50570
NC_053453.1	37000000	38000000	11319
NC_053453.1	38000000	39000000	46072
NC_053453.1	39000000	40000000	19002
NC_053453.1	40000000	41000000	37308
NC_053453.1	41000000	42000000	9867
NC_053453.1	42000000	43000000	7012
NC_053453.1	43000000	44000000	26734
NC_053453.1	44000000	45000000	33080
NC_053453.1	45000000	46000000	14505
NC_053453.1	46000000	47000000	69442
NC_053453.1	47000000	48000000	126896
NC_053453.1	48000000	49000000	60079
NC_053453.1	49000000	50000000	112855
NC_053453.1	50000000	51000000	83666
NC_053453.1	51000000	52000000	69362
NC_053453.1	52000000	53000000	86556
