chrom	start	end	bp
NC_053451.1	0	50000	9135
NC_053451.1	50000	100000	3557
NC_053451.1	100000	150000	7942
NC_053451.1	150000	200000	4574
NC_053451.1	200000	250000	12431
NC_053451.1	250000	300000	2289
NC_053451.1	300000	350000	15804
NC_053451.1	350000	400000	8695
NC_053451.1	400000	450000	5034
NC_053451.1	450000	500000	2622
NC_053451.1	500000	550000	2501
NC_053451.1	550000	600000	608
NC_053451.1	600000	650000	2170
NC_053451.1	650000	700000	618
NC_053451.1	700000	750000	615
NC_053451.1	750000	800000	2590
NC_053451.1	800000	850000	300
NC_053451.1	850000	900000	4552
NC_053451.1	900000	950000	2013
NC_053451.1	950000	1000000	2656
NC_053451.1	1000000	1050000	2996
NC_053451.1	1050000	1100000	5237
NC_053451.1	1100000	1150000	5660
NC_053451.1	1150000	1200000	172
NC_053451.1	1200000	1250000	9070
NC_053451.1	1250000	1300000	11739
NC_053451.1	1300000	1350000	3475
NC_053451.1	1350000	1400000	267
NC_053451.1	1400000	1450000	1056
NC_053451.1	1450000	1500000	12535
NC_053451.1	1500000	1550000	179
NC_053451.1	1550000	1600000	855
NC_053451.1	1600000	1650000	14183
NC_053451.1	1650000	1700000	16592
NC_053451.1	1700000	1750000	5719
NC_053451.1	1750000	1800000	.
NC_053451.1	1800000	1850000	.
NC_053451.1	1850000	1900000	.
NC_053451.1	1900000	1950000	644
NC_053451.1	1950000	2000000	.
NC_053451.1	2000000	2050000	.
NC_053451.1	2050000	2100000	.
NC_053451.1	2100000	2150000	214
NC_053451.1	2150000	2200000	453
NC_053451.1	2200000	2250000	158
NC_053451.1	2250000	2300000	693
NC_053451.1	2300000	2350000	19424
NC_053451.1	2350000	2400000	10579
NC_053451.1	2400000	2450000	106
NC_053451.1	2450000	2500000	4968
NC_053451.1	2500000	2550000	.
NC_053451.1	2550000	2600000	1128
NC_053451.1	2600000	2650000	2400
NC_053451.1	2650000	2700000	1108
NC_053451.1	2700000	2750000	661
NC_053451.1	2750000	2800000	766
NC_053451.1	2800000	2850000	5710
NC_053451.1	2850000	2900000	460
NC_053451.1	2900000	2950000	.
NC_053451.1	2950000	3000000	.
NC_053451.1	3000000	3050000	4959
NC_053451.1	3050000	3100000	5381
NC_053451.1	3100000	3150000	377
NC_053451.1	3150000	3200000	105
NC_053451.1	3200000	3250000	496
NC_053451.1	3250000	3300000	428
NC_053451.1	3300000	3350000	.
NC_053451.1	3350000	3400000	.
NC_053451.1	3400000	3450000	.
NC_053451.1	3450000	3500000	.
NC_053451.1	3500000	3550000	1076
NC_053451.1	3550000	3600000	1221
NC_053451.1	3600000	3650000	208
NC_053451.1	3650000	3700000	.
NC_053451.1	3700000	3750000	.
NC_053451.1	3750000	3800000	118
NC_053451.1	3800000	3850000	65
NC_053451.1	3850000	3900000	664
NC_053451.1	3900000	3950000	.
NC_053451.1	3950000	4000000	492
NC_053451.1	4000000	4050000	336
NC_053451.1	4050000	4100000	677
NC_053451.1	4100000	4150000	10282
NC_053451.1	4150000	4200000	11303
NC_053451.1	4200000	4250000	6091
NC_053451.1	4250000	4300000	6585
NC_053451.1	4300000	4350000	1202
NC_053451.1	4350000	4400000	2560
NC_053451.1	4400000	4450000	7987
NC_053451.1	4450000	4500000	5285
NC_053451.1	4500000	4550000	1124
NC_053451.1	4550000	4600000	4389
NC_053451.1	4600000	4650000	918
NC_053451.1	4650000	4700000	102
NC_053451.1	4700000	4750000	16302
NC_053451.1	4750000	4800000	11173
NC_053451.1	4800000	4850000	3399
NC_053451.1	4850000	4900000	1014
NC_053451.1	4900000	4950000	1436
NC_053451.1	4950000	5000000	6969
NC_053451.1	5000000	5050000	1496
NC_053451.1	5050000	5100000	1475
NC_053451.1	5100000	5150000	826
NC_053451.1	5150000	5200000	2019
NC_053451.1	5200000	5250000	6834
NC_053451.1	5250000	5300000	9434
NC_053451.1	5300000	5350000	642
NC_053451.1	5350000	5400000	13836
NC_053451.1	5400000	5450000	5863
NC_053451.1	5450000	5500000	9979
NC_053451.1	5500000	5550000	5499
NC_053451.1	5550000	5600000	1612
NC_053451.1	5600000	5650000	482
NC_053451.1	5650000	5700000	.
NC_053451.1	5700000	5750000	558
NC_053451.1	5750000	5800000	4629
NC_053451.1	5800000	5850000	2404
NC_053451.1	5850000	5900000	6695
NC_053451.1	5900000	5950000	.
NC_053451.1	5950000	6000000	.
NC_053451.1	6000000	6050000	.
NC_053451.1	6050000	6100000	.
NC_053451.1	6100000	6150000	.
NC_053451.1	6150000	6200000	.
NC_053451.1	6200000	6250000	2418
NC_053451.1	6250000	6300000	299
NC_053451.1	6300000	6350000	553
NC_053451.1	6350000	6400000	150
NC_053451.1	6400000	6450000	27
NC_053451.1	6450000	6500000	.
NC_053451.1	6500000	6550000	21
NC_053451.1	6550000	6600000	.
NC_053451.1	6600000	6650000	471
NC_053451.1	6650000	6700000	71
NC_053451.1	6700000	6750000	180
NC_053451.1	6750000	6800000	564
NC_053451.1	6800000	6850000	1052
NC_053451.1	6850000	6900000	543
NC_053451.1	6900000	6950000	.
NC_053451.1	6950000	7000000	.
NC_053451.1	7000000	7050000	381
NC_053451.1	7050000	7100000	.
NC_053451.1	7100000	7150000	.
NC_053451.1	7150000	7200000	.
NC_053451.1	7200000	7250000	.
NC_053451.1	7250000	7300000	.
NC_053451.1	7300000	7350000	.
NC_053451.1	7350000	7400000	.
NC_053451.1	7400000	7450000	.
NC_053451.1	7450000	7500000	.
NC_053451.1	7500000	7550000	.
NC_053451.1	7550000	7600000	.
NC_053451.1	7600000	7650000	.
NC_053451.1	7650000	7700000	.
NC_053451.1	7700000	7750000	.
NC_053451.1	7750000	7800000	.
NC_053451.1	7800000	7850000	.
NC_053451.1	7850000	7900000	137
NC_053451.1	7900000	7950000	846
NC_053451.1	7950000	8000000	1140
NC_053451.1	8000000	8050000	1749
NC_053451.1	8050000	8100000	.
NC_053451.1	8100000	8150000	.
NC_053451.1	8150000	8200000	.
NC_053451.1	8200000	8250000	.
NC_053451.1	8250000	8300000	.
NC_053451.1	8300000	8350000	.
NC_053451.1	8350000	8400000	2032
NC_053451.1	8400000	8450000	4496
NC_053451.1	8450000	8500000	1942
NC_053451.1	8500000	8550000	.
NC_053451.1	8550000	8600000	.
NC_053451.1	8600000	8650000	.
NC_053451.1	8650000	8700000	.
NC_053451.1	8700000	8750000	.
NC_053451.1	8750000	8800000	.
NC_053451.1	8800000	8850000	73
NC_053451.1	8850000	8900000	.
NC_053451.1	8900000	8950000	8456
NC_053451.1	8950000	9000000	8922
NC_053451.1	9000000	9050000	.
NC_053451.1	9050000	9100000	.
NC_053451.1	9100000	9150000	.
NC_053451.1	9150000	9200000	.
NC_053451.1	9200000	9250000	.
NC_053451.1	9250000	9300000	.
NC_053451.1	9300000	9350000	.
NC_053451.1	9350000	9400000	.
NC_053451.1	9400000	9450000	.
NC_053451.1	9450000	9500000	.
NC_053451.1	9500000	9550000	.
NC_053451.1	9550000	9600000	282
NC_053451.1	9600000	9650000	.
NC_053451.1	9650000	9700000	.
NC_053451.1	9700000	9750000	.
NC_053451.1	9750000	9800000	.
NC_053451.1	9800000	9850000	.
NC_053451.1	9850000	9900000	.
NC_053451.1	9900000	9950000	.
NC_053451.1	9950000	10000000	.
NC_053451.1	10000000	10050000	2832
NC_053451.1	10050000	10100000	597
NC_053451.1	10100000	10150000	861
NC_053451.1	10150000	10200000	564
NC_053451.1	10200000	10250000	.
NC_053451.1	10250000	10300000	.
NC_053451.1	10300000	10350000	1020
NC_053451.1	10350000	10400000	.
NC_053451.1	10400000	10450000	230
NC_053451.1	10450000	10500000	122
NC_053451.1	10500000	10550000	.
NC_053451.1	10550000	10600000	.
NC_053451.1	10600000	10650000	.
NC_053451.1	10650000	10700000	.
NC_053451.1	10700000	10750000	.
NC_053451.1	10750000	10800000	.
NC_053451.1	10800000	10850000	.
NC_053451.1	10850000	10900000	.
NC_053451.1	10900000	10950000	.
NC_053451.1	10950000	11000000	.
NC_053451.1	11000000	11050000	.
NC_053451.1	11050000	11100000	.
NC_053451.1	11100000	11150000	.
NC_053451.1	11150000	11200000	.
NC_053451.1	11200000	11250000	.
NC_053451.1	11250000	11300000	.
NC_053451.1	11300000	11350000	.
NC_053451.1	11350000	11400000	1674
NC_053451.1	11400000	11450000	3050
NC_053451.1	11450000	11500000	.
NC_053451.1	11500000	11550000	.
NC_053451.1	11550000	11600000	256
NC_053451.1	11600000	11650000	2105
NC_053451.1	11650000	11700000	5489
NC_053451.1	11700000	11750000	.
NC_053451.1	11750000	11800000	.
NC_053451.1	11800000	11850000	.
NC_053451.1	11850000	11900000	.
NC_053451.1	11900000	11950000	.
NC_053451.1	11950000	12000000	.
NC_053451.1	12000000	12050000	.
NC_053451.1	12050000	12100000	.
NC_053451.1	12100000	12150000	.
NC_053451.1	12150000	12200000	.
NC_053451.1	12200000	12250000	.
NC_053451.1	12250000	12300000	.
NC_053451.1	12300000	12350000	2183
NC_053451.1	12350000	12400000	2159
NC_053451.1	12400000	12450000	614
NC_053451.1	12450000	12500000	.
NC_053451.1	12500000	12550000	1041
NC_053451.1	12550000	12600000	5839
NC_053451.1	12600000	12650000	330
NC_053451.1	12650000	12700000	134
NC_053451.1	12700000	12750000	8796
NC_053451.1	12750000	12800000	.
NC_053451.1	12800000	12850000	845
NC_053451.1	12850000	12900000	1564
NC_053451.1	12900000	12950000	6122
NC_053451.1	12950000	13000000	3430
NC_053451.1	13000000	13050000	241
NC_053451.1	13050000	13100000	.
NC_053451.1	13100000	13150000	200
NC_053451.1	13150000	13200000	145
NC_053451.1	13200000	13250000	.
NC_053451.1	13250000	13300000	.
NC_053451.1	13300000	13350000	.
NC_053451.1	13350000	13400000	.
NC_053451.1	13400000	13450000	.
NC_053451.1	13450000	13500000	482
NC_053451.1	13500000	13550000	.
NC_053451.1	13550000	13600000	.
NC_053451.1	13600000	13650000	641
NC_053451.1	13650000	13700000	327
NC_053451.1	13700000	13750000	.
NC_053451.1	13750000	13800000	.
NC_053451.1	13800000	13850000	.
NC_053451.1	13850000	13900000	.
NC_053451.1	13900000	13950000	558
NC_053451.1	13950000	14000000	1569
NC_053451.1	14000000	14050000	1593
NC_053451.1	14050000	14100000	4630
NC_053451.1	14100000	14150000	.
NC_053451.1	14150000	14200000	.
NC_053451.1	14200000	14250000	.
NC_053451.1	14250000	14300000	.
NC_053451.1	14300000	14350000	1972
NC_053451.1	14350000	14400000	3099
NC_053451.1	14400000	14450000	694
NC_053451.1	14450000	14500000	158
NC_053451.1	14500000	14550000	.
NC_053451.1	14550000	14600000	327
NC_053451.1	14600000	14650000	425
NC_053451.1	14650000	14700000	84
NC_053451.1	14700000	14750000	.
NC_053451.1	14750000	14800000	.
NC_053451.1	14800000	14850000	3659
NC_053451.1	14850000	14900000	.
NC_053451.1	14900000	14950000	141
NC_053451.1	14950000	15000000	.
NC_053451.1	15000000	15050000	2910
NC_053451.1	15050000	15100000	1146
NC_053451.1	15100000	15150000	1229
NC_053451.1	15150000	15200000	.
NC_053451.1	15200000	15250000	.
NC_053451.1	15250000	15300000	.
NC_053451.1	15300000	15350000	.
NC_053451.1	15350000	15400000	3686
NC_053451.1	15400000	15450000	6054
NC_053451.1	15450000	15500000	739
NC_053451.1	15500000	15550000	809
NC_053451.1	15550000	15600000	298
NC_053451.1	15600000	15650000	613
NC_053451.1	15650000	15700000	858
NC_053451.1	15700000	15750000	2901
NC_053451.1	15750000	15800000	1365
NC_053451.1	15800000	15850000	1008
NC_053451.1	15850000	15900000	2910
NC_053451.1	15900000	15950000	709
NC_053451.1	15950000	16000000	684
NC_053451.1	16000000	16050000	3626
NC_053451.1	16050000	16100000	.
NC_053451.1	16100000	16150000	.
NC_053451.1	16150000	16200000	1986
NC_053451.1	16200000	16250000	437
