CHR	START	END	N_MRK	THETA_S	THETA_PI	THETA_L	TAJIMA_D	FAY_WU_H	ZENG_E
NC_053451.1	0	50000	225	79.5342965352783	67.7333333333336	63.7777777777781	-0.740874664880119	0.206414282399166	-0.966346034630083
NC_053451.1	50000	1e+05	326	115.236358535558	102.244444444445	102.333333333334	-0.56403870106442	-0.00321529359681801	-0.550994044485113
NC_053451.1	1e+05	150000	348	123.013045307896	108.222222222223	104.888888888889	-0.601707641240732	0.113020120730237	-0.725929854194834
NC_053451.1	150000	2e+05	335	118.417730396969	111.377777777778	106.222222222223	-0.297460212123063	0.181524067400742	-0.507059243468412
NC_053451.1	2e+05	250000	234	82.7156683966893	70.0000000000002	82.4444444444447	-0.767781575414768	-0.62475025341834	-0.0160117001808611
NC_053451.1	250000	3e+05	245	86.6040117828584	74.6444444444447	66.777777777778	-0.689892048024541	0.377426305304316	-1.11925378244474
NC_053451.1	3e+05	350000	304	107.45967176322	102.222222222222	96.8888888888893	-0.243760546298159	0.206734217385655	-0.483377508044691
NC_053451.1	350000	4e+05	337	119.124701921727	104.111111111112	101.666666666667	-0.630622563029543	0.0855614380075377	-0.721636828888164
NC_053451.1	4e+05	450000	239	84.4830972085844	82.6222222222224	77.777777777778	-0.11002423177847	0.238184945142298	-0.387786997374227
NC_053451.1	450000	5e+05	379	133.971103941646	124.733333333334	120.111111111112	-0.345179337300296	0.144009160439882	-0.510505035435246
NC_053451.1	5e+05	550000	405	143.1617337635	129.288888888889	123.111111111112	-0.485211914997313	0.180213903064472	-0.691872487646697
NC_053451.1	550000	6e+05	314	110.99452938701	100.911111111111	110.555555555556	-0.454422214299643	-0.362057859483115	-0.0194470738282381
NC_053451.1	6e+05	650000	425	150.231449011081	138.066666666667	146.111111111112	-0.40551583486673	-0.223706092212343	-0.135589147488429
NC_053451.1	650000	7e+05	65	22.976574554636	21.1333333333333	19.8888888888889	-0.394539400911359	0.217480981634969	-0.61434532145941
NC_053451.1	7e+05	750000	95	33.5811474260065	29.7555555555555	31	-0.564024084282532	-0.150962554884286	-0.361276629866229
NC_053451.1	750000	8e+05	422	149.170991723944	138.355555555556	134.888888888889	-0.363089512089287	0.0970839254724379	-0.473274942414126
NC_053451.1	8e+05	850000	441	155.887221209145	139.444444444445	130.111111111112	-0.528301067394645	0.250199387004768	-0.817901432653073
NC_053451.1	850000	9e+05	392	138.566418852573	122.4	126.88888888889	-0.584115012721593	-0.135254394265255	-0.416090144545196
NC_053451.1	9e+05	950000	363	128.315331743581	118.155555555556	120.111111111111	-0.396298913886534	-0.0635890790470162	-0.31526811791899
NC_053451.1	950000	1e+06	361	127.608360218823	120.111111111111	123.444444444445	-0.294056463133181	-0.108985726009589	-0.160879689966675
NC_053451.1	1e+06	1050000	187	66.1018375648759	62.5111111111112	66.1111111111112	-0.270893761964949	-0.225400020454306	0.000680441608400688
NC_053451.1	1050000	1100000	328	115.943330060316	99.8222222222225	97.3333333333336	-0.695642142965417	0.0894845416629089	-0.789946611094255
NC_053451.1	1100000	1150000	368	130.082760555477	106.488888888889	100.888888888889	-0.907861829475411	0.179643096675209	-1.10687448307387
NC_053451.1	1150000	1200000	301	106.399214476083	99.1333333333335	105.222222222222	-0.341522113389466	-0.238349354448395	-0.054346120552245
NC_053451.1	1200000	1250000	313	110.641043624631	97.4222222222225	104.444444444445	-0.597617866813504	-0.26445192430541	-0.275375900163053
NC_053451.1	1250000	1300000	395	139.62687613971	126.111111111111	120.333333333334	-0.48464758886223	0.172778195016876	-0.682326063698337
NC_053451.1	1300000	1350000	378	133.617618179267	115.466666666667	114	-0.680017570043967	0.0458150908833892	-0.724454440333222
NC_053451.1	1350000	1400000	373	131.850189367372	111.977777777778	103	-0.754453515584812	0.284171357743177	-1.07943555196732
NC_053451.1	1400000	1450000	388	137.152475803057	114.177777777778	112.444444444445	-0.838634122777462	0.0527609805774775	-0.889313482917799
NC_053451.1	1450000	1500000	468	165.431336793379	152.911111111111	155.888888888889	-0.379133114324927	-0.0752513805585808	-0.285565804471906
NC_053451.1	1500000	1550000	318	112.408472436526	102.711111111111	110	-0.431551329536773	-0.270221189793922	-0.105383291455452
NC_053451.1	1550000	1600000	469	165.784822555758	143.933333333333	166.111111111112	-0.660292578063325	-0.559267388704089	0.00974392997659723
NC_053451.1	1600000	1650000	298	105.338757188946	108.311111111111	102.444444444445	0.141110970276205	0.231937990295722	-0.134957616507029
NC_053451.1	1650000	1700000	340	120.185159208864	116.066666666667	115.888888888889	-0.171470839559722	0.0061682534769993	-0.176051307358487
NC_053451.1	1700000	1750000	344	121.59910225838	105.933333333334	116.777777777778	-0.644681461704569	-0.371928415519977	-0.195312633374813
NC_053451.1	1750000	1800000	429	151.645392060597	147.733333333333	164.222222222223	-0.12919745903823	-0.454291845279717	0.41006894440838
NC_053451.1	1800000	1850000	434	153.412820872492	151.311111111111	158.555555555556	-0.0686128453200585	-0.197311827441975	0.165776597144223
NC_053451.1	1850000	1900000	431	152.352363585355	140.844444444444	154.222222222223	-0.378296291427745	-0.366878633082271	0.0606883081652186
NC_053451.1	1900000	1950000	424	149.877963248702	139.8	145.444444444445	-0.336740928669419	-0.157332485459002	-0.146233898532741
NC_053451.1	1950000	2e+06	388	137.152475803057	127.777777777778	132.444444444445	-0.34219999958576	-0.142048793862445	-0.169455660163483
NC_053451.1	2e+06	2050000	167	59.0321223172956	55.0666666666667	50	-0.334691496331749	0.354516731097318	-0.739139701866565
NC_053451.1	2050000	2100000	0	0	0	0	0	0	0
NC_053451.1	2100000	2150000	376	132.910646654509	121.955555555556	132	-0.4126026737748	-0.315418891739836	-0.03380485499864
NC_053451.1	2150000	2200000	415	146.696591387291	134.511111111111	137.888888888889	-0.415960498256436	-0.0961780008368882	-0.296712301118313
NC_053451.1	2200000	2250000	369	130.436246317856	117.2	115.333333333334	-0.507938768609029	0.0597201417158242	-0.571096565343533
NC_053451.1	2250000	2300000	350	123.720016832654	99.666666666667	107.444444444445	-0.972948924735147	-0.262220262985588	-0.648231870316829
NC_053451.1	2300000	2350000	323	114.175901248421	93.4000000000003	100.111111111112	-0.910318201703564	-0.244987363809174	-0.606071707008542
NC_053451.1	2350000	2400000	386	136.445504278299	111.555555555556	113.555555555556	-0.91323580858322	-0.061190902389474	-0.828072541697077
NC_053451.1	2400000	2450000	352	124.426988357412	117.711111111111	122.111111111111	-0.270117405545968	-0.147506452650694	-0.0917234885928223
NC_053451.1	2450000	2500000	342	120.892130733622	110.555555555556	111.666666666667	-0.427850486866274	-0.0383282151197368	-0.37586932607411
NC_053451.1	2500000	2550000	418	147.757048674428	135.955555555556	141.333333333334	-0.399971315598443	-0.152034833208089	-0.214871993637444
NC_053451.1	2550000	2600000	323	114.175901248421	106.666666666667	109.777777777778	-0.329025096860829	-0.113570301103588	-0.189521363167447
NC_053451.1	2600000	2650000	322	113.822415486042	98.377777777778	92.5555555555559	-0.678815622740766	0.213192307462764	-0.919208202622182
NC_053451.1	2650000	2700000	302	106.752700238462	97.2222222222224	100.555555555556	-0.446489781857578	-0.130055660156727	-0.28521791838376
NC_053451.1	2700000	2750000	360	127.254874456444	118.977777777778	112.666666666667	-0.325541822220878	0.206914466458338	-0.565176791964417
NC_053451.1	2750000	2800000	394	139.273390377331	126.777777777778	130.777777777778	-0.449200157247007	-0.119916830693269	-0.301201724257112
NC_053451.1	2800000	2850000	346	122.306073783138	109.666666666667	115.222222222223	-0.51714559676331	-0.189445767573959	-0.285340144915294
NC_053451.1	2850000	2900000	522	184.519567961846	174.822222222222	185.222222222223	-0.263356396509287	-0.2357954012217	0.0188794863708838
NC_053451.1	2900000	2950000	452	159.775564595315	137.644444444445	136.88888888889	-0.693815232701712	0.0197647774152254	-0.708798016025618
NC_053451.1	2950000	3e+06	485	171.440594753822	155.177777777778	152.777777777778	-0.475253745957203	0.0585383739057921	-0.539187568718936
NC_053451.1	3e+06	3050000	462	163.310422219105	151.866666666667	160.444444444445	-0.351022482472742	-0.219564773630456	-0.0868649442499077
NC_053451.1	3050000	3100000	479	169.319680179548	158.266666666666	165.555555555556	-0.327039946290254	-0.179995399810056	-0.110093001003849
NC_053451.1	3100000	3150000	427	150.938420535839	132.333333333334	134.333333333334	-0.61730958190866	-0.0553589639964967	-0.543907979430303
NC_053451.1	3150000	3200000	359	126.901388694065	121.444444444445	125.444444444445	-0.215219480135907	-0.131505060757282	-0.0565993756870962
