CHR	START	END	N_MRK	THETA_S	THETA_PI	THETA_L	TAJIMA_D	FAY_WU_H	ZENG_E
NC_053451.1	0	50000	269	75.8229255797687	75.8894736842105	79.421052631579	0.00365461617331075	-0.172868911983089	0.19149370343391
NC_053451.1	50000	1e+05	337	94.990059183576	82.4684210526315	99.3157894736844	-0.549791104320556	-0.659938256831765	0.184678278925652
NC_053451.1	1e+05	150000	340	95.8356680190381	89.1421052631577	99.105263157895	-0.291319557117026	-0.386863499221848	0.138381166290265
NC_053451.1	150000	2e+05	367	103.446147538197	97.5526315789472	108.789473684211	-0.237741135445668	-0.40451677218629	0.20981362612634
NC_053451.1	2e+05	250000	319	89.9164061708035	76.6578947368422	77.9473684210528	-0.614769461676911	-0.0533306302960706	-0.539227115782078
NC_053451.1	250000	3e+05	236	66.5212283896857	57.0526315789475	58.3157894736843	-0.59202852686727	-0.0703535911618192	-0.496064884669298
NC_053451.1	3e+05	350000	333	93.8625807362932	88.1157894736842	96.2105263157897	-0.255337116867031	-0.320853806549758	0.101420825275576
NC_053451.1	350000	4e+05	315	88.7889277235207	80.1947368421053	82.1578947368422	-0.403519972420242	-0.0822131139403888	-0.302453842065303
NC_053451.1	4e+05	450000	286	80.6147089807205	74.9157894736843	78.3157894736844	-0.294505360603244	-0.156652330284528	-0.115244686237417
NC_053451.1	450000	5e+05	391	110.211018221894	91.2947368421052	105.052631578948	-0.716495235254975	-0.465136233041695	-0.19033139108303
NC_053451.1	5e+05	550000	385	108.519800550969	95.8157894736842	106.157894736842	-0.488648625973682	-0.355053968410379	-0.0884829110274575
NC_053451.1	550000	6e+05	473	133.324326391191	120.636842105263	130.368421052632	-0.39763907979452	-0.272384431246953	-0.0904261927628142
NC_053451.1	6e+05	650000	395	111.338496669176	98.7052631578945	109.052631578948	-0.473692229071939	-0.346318729279841	-0.0835029890281368
NC_053451.1	650000	7e+05	107	30.1600484648151	30.3789473684211	28.6315789473684	0.0298591542020684	0.211063994112885	-0.197321738398779
NC_053451.1	7e+05	750000	124	34.9518318657671	31.6947368421053	35.3684210526316	-0.384422143722327	-0.384510528994956	0.0467764101394002
NC_053451.1	750000	8e+05	423	119.230845800156	104.736842105263	112.315789473685	-0.507674842786219	-0.237005881116301	-0.236151824956462
NC_053451.1	8e+05	850000	397	111.902235892818	97.3526315789472	98.6842105263161	-0.542814687580718	-0.0443443606268299	-0.480464887004348
NC_053451.1	850000	9e+05	370	104.291756373659	90.3947368421052	91.4210526315792	-0.556079377519925	-0.0366496783475898	-0.501363452818008
NC_053451.1	9e+05	950000	344	96.9631464663209	83.3105263157893	91.0000000000002	-0.587328568720253	-0.295140063410856	-0.249504166883456
NC_053451.1	950000	1e+06	462	130.223760661163	114.452631578947	130.842105263158	-0.505996749125663	-0.469578995192163	0.0193600485587232
NC_053451.1	1e+06	1050000	178	50.172790904085	47.2000000000001	60.2105263157895	-0.245707795828572	-0.956336324133434	0.797402286729938
NC_053451.1	1050000	1100000	297	83.7152747107482	73.7894736842105	79.0526315789475	-0.494080858911885	-0.233616689855084	-0.22527379520146
NC_053451.1	1100000	1150000	281	79.2053609216171	66.9157894736843	71.8947368421054	-0.646306390308649	-0.233433938590834	-0.372848952798422
NC_053451.1	1150000	1200000	300	84.5608835462103	69.9736842105264	84.263157894737	-0.718904760673297	-0.627998066147855	-0.0142438277275646
NC_053451.1	1200000	1250000	321	90.4801453944449	74.0157894736842	76.5789473684213	-0.758693511727996	-0.105354708701704	-0.622453146320585
NC_053451.1	1250000	1300000	380	107.110452491866	85.5578947368421	98.7368421052635	-0.83984550883126	-0.458345390804828	-0.317751437633036
NC_053451.1	1300000	1350000	390	109.929148610073	88.7999999999998	96.4210526315792	-0.802352994115976	-0.25831262034686	-0.499670572700114
NC_053451.1	1350000	1400000	327	92.1713630653691	68.8157894736843	76.0526315789476	-1.05663127385262	-0.292057929628878	-0.70877342721158
NC_053451.1	1400000	1450000	354	99.7818425845279	83.3473684210526	90.2105263157898	-0.687153545727958	-0.25605403768974	-0.389373773659658
