CHR	START	END	N_MRK	THETA_S	THETA_PI	THETA_L	TAJIMA_D	FAY_WU_H	ZENG_E
NC_053451.1	0	50000	209	73.8785243372141	80.4000000000001	84.2222222222223	0.440556344237002	-0.214498052966534	0.681477119105002
NC_053451.1	50000	1e+05	336	118.771216159348	111.133333333334	115.888888888889	-0.321768201302225	-0.166946644794828	-0.119490259023154
NC_053451.1	1e+05	150000	377	133.264132416888	138.555555555556	150.777777777778	0.198764749955699	-0.38279665033132	0.648443387822365
NC_053451.1	150000	2e+05	325	114.882872773179	129.422222222222	128.222222222222	0.633153751093885	0.0435387272059293	0.571344232109768
NC_053451.1	2e+05	250000	224	79.1808107728992	89.1111111111112	95.3333333333334	0.626198524409882	-0.326125951377456	0.99493045714452
NC_053451.1	250000	3e+05	120	42.4182914854819	38.0222222222222	47.4444444444445	-0.514669233663328	-0.910907945535725	0.564254757578986
NC_053451.1	3e+05	350000	272	96.1481273670917	91.1111111111112	105.777777777778	-0.261869144135198	-0.634631445881529	0.490927873733084
NC_053451.1	350000	4e+05	358	126.547902931686	122.333333333334	149.000000000001	-0.166683239892286	-0.879127699365856	0.874611526441905
NC_053451.1	4e+05	450000	290	102.510871089914	110.711111111111	118.222222222222	0.399989250954488	-0.305053863346459	0.752360355174557
NC_053451.1	450000	5e+05	318	112.408472436526	127.244444444445	132.666666666667	0.660229440786947	-0.201018202163778	0.886402167008224
NC_053451.1	5e+05	550000	284	100.38995651564	97.5333333333335	104.333333333334	-0.142268812332886	-0.28194311399116	0.192733676781597
NC_053451.1	550000	6e+05	397	140.333847664468	152.133333333333	153.777777777778	0.42098142129417	-0.0489295705983177	0.473095416754509
NC_053451.1	6e+05	650000	248	87.6644690699955	83.8222222222222	110.666666666667	-0.218975516558077	-1.27255740587927	1.28324167331832
NC_053451.1	650000	7e+05	95	33.5811474260065	36.8444444444445	36.2222222222222	0.481122444551153	0.0754812774421438	0.36966451121225
NC_053451.1	7e+05	750000	164	57.9716650301586	55.0444444444445	54.7777777777779	-0.251543430884771	0.0189936589564722	-0.265970716961162
NC_053451.1	750000	8e+05	495	174.975452377613	166.155555555555	171.444444444445	-0.252554703215346	-0.12641184262787	-0.0999806571481815
NC_053451.1	8e+05	850000	542	191.589283209427	186.755555555555	189.777777777779	-0.126441000038727	-0.0660080735414404	-0.0468986307322748
NC_053451.1	850000	9e+05	407	143.868705288258	138.244444444445	142.111111111112	-0.195748956515243	-0.112245780650795	-0.0603547734145544
NC_053451.1	9e+05	950000	431	152.352363585355	159.066666666666	153.777777777778	0.220717222990579	0.145045040985985	0.0462633773843848
NC_053451.1	950000	1e+06	482	170.380137466685	173.533333333333	155.000000000001	0.0927187405498246	0.454841390808595	-0.44707586418847
NC_053451.1	1e+06	1050000	251	88.7249263571325	88.5111111111112	95	-0.0120408301171371	-0.303974263982641	0.345994434091485
NC_053451.1	1050000	1100000	381	134.678075466404	131.777777777778	139.111111111111	-0.107806001849084	-0.22728666787398	0.162439425694625
NC_053451.1	1100000	1150000	311	109.934072099873	113.022222222222	112	0.140507848687185	0.0387412242200269	0.0923877226734012
NC_053451.1	1150000	1200000	306	108.166643287978	112.177777777778	132	0.185471050818767	-0.763391840200565	1.08287078032044
NC_053451.1	1200000	1250000	341	120.538644971243	131.044444444445	129.666666666667	0.436124949007287	0.0476650732100046	0.37296924807321
NC_053451.1	1250000	1300000	314	110.99452938701	123.733333333334	119.777777777778	0.57409058500069	0.148493776470036	0.389108570187858
NC_053451.1	1300000	1350000	291	102.864356852293	106.022222222222	115.666666666667	0.153506808171913	-0.390364884525377	0.610996465756869
NC_053451.1	1350000	1400000	242	85.5435544957214	77.6444444444447	88.6666666666669	-0.461278896687044	-0.535294170928675	0.178437846451604
NC_053451.1	1400000	1450000	368	130.082760555477	118.466666666667	136.111111111112	-0.446972349357456	-0.566018328413163	0.228562606606695
NC_053451.1	1450000	1500000	442	156.240706971524	154.022222222222	152.777777777778	-0.0711184448582412	0.0332849840767454	-0.109637222176312
NC_053451.1	1500000	1550000	395	139.62687613971	147.955555555555	149.555555555556	0.298649346800192	-0.0478462693893006	0.35113285369744
NC_053451.1	1550000	1600000	359	126.901388694065	128.844444444445	138.888888888889	0.0766332638455571	-0.330223819234951	0.465690452639245
NC_053451.1	1600000	1650000	325	114.882872773179	120.133333333334	110.888888888889	0.228644947993255	0.335409454030836	-0.171068286661616
NC_053451.1	1650000	1700000	377	133.264132416888	141.8	152.555555555556	0.320637669933038	-0.336861052291559	0.714265677886066
NC_053451.1	1700000	1750000	279	98.6225277037447	107.977777777778	118.111111111111	0.474228452803939	-0.427595340556203	0.96918863805945
NC_053451.1	1750000	1800000	487	172.14756627858	171.822222222222	189.777777777778	-0.00946870619798526	-0.436166892873968	0.507290783634426
NC_053451.1	1800000	1850000	598	211.384485902652	213.599999999999	207.555555555557	0.0525393641388875	0.119719125566085	-0.0899472097788921
NC_053451.1	1850000	1900000	587	207.496142516483	213.733333333332	226.222222222223	0.150675658413562	-0.251971125520117	0.448054594382365
