CHR	START	END	N_MRK	THETA_S	THETA_PI	THETA_L	TAJIMA_D	FAY_WU_H	ZENG_E
NC_053451.1	0	50000	139	41.8898154056385	35.3916666666667	39.5333333333334	-0.672798953919825	-0.373004398815592	-0.234518547138411
NC_053451.1	50000	1e+05	318	95.8342539495906	89.4916666666668	103.533333333333	-0.289277414604789	-0.560067746928137	0.343707602419869
NC_053451.1	1e+05	150000	279	84.0809963897351	86.5166666666667	91.8666666666668	0.126509086466762	-0.242869567586356	0.395020432690648
NC_053451.1	150000	2e+05	295	88.9028456450605	94.1250000000001	109.4	0.256624242829364	-0.656234601326894	0.984806933320407
NC_053451.1	2e+05	250000	316	95.231522792675	86.8916666666668	95.2666666666668	-0.382763049245929	-0.336138607821349	0.00157864061475719
NC_053451.1	250000	3e+05	193	58.1635566423615	62.0083333333333	69.5333333333334	0.287799633538524	-0.49126419116533	0.825356166210495
NC_053451.1	3e+05	350000	323	97.3410818418798	93.3666666666668	98.8000000000001	-0.178478813510445	-0.213394013212499	0.0641423259722043
NC_053451.1	350000	4e+05	343	103.368393411036	106.283333333333	108.266666666667	0.123311247451435	-0.0733968597921292	0.203039638431053
NC_053451.1	4e+05	450000	287	86.4919210173978	81.8666666666668	75.2000000000001	-0.233584856505355	0.294301431386475	-0.557310338169088
NC_053451.1	450000	5e+05	340	102.464296675663	102.883333333333	98.6666666666668	0.0178821092756479	0.157408989893237	-0.158778656022614
NC_053451.1	5e+05	550000	342	103.067027832579	103.6	106.8	0.0226119742739771	-0.118764759847166	0.155180165499427
NC_053451.1	550000	6e+05	413	124.463983903085	122.433333333334	120.4	-0.071411290862015	0.0625951656206819	-0.140362674432208
NC_053451.1	6e+05	650000	374	112.710726343229	107.375	105	-0.207105566861417	0.0806701858271511	-0.293594431241176
NC_053451.1	650000	7e+05	45	13.5614510306024	12.0833333333333	9.2	-0.459787658882223	0.766156094619757	-1.23042619873045
NC_053451.1	7e+05	750000	136	40.985718670265	38.6833333333333	40.2666666666667	-0.243567175420981	-0.14566891224452	-0.0730667926545454
NC_053451.1	750000	8e+05	373	112.409360764771	108.775	105.666666666667	-0.141443507540736	0.105859430451667	-0.257411643097099
NC_053451.1	8e+05	850000	387	116.628478863181	113.6	123.6	-0.113621042051383	-0.328351123973909	0.256683847851788
NC_053451.1	850000	9e+05	448	135.011779149109	133.525	131.133333333333	-0.0482179880153815	0.0679165973948798	-0.123644447748255
NC_053451.1	9e+05	950000	421	126.874908530747	122.091666666667	117	-0.165029134483026	0.153789265054409	-0.334682631861059
NC_053451.1	950000	1e+06	421	126.874908530747	126.175	122.6	-0.024147911046245	0.107979696740329	-0.144886166143303
NC_053451.1	1e+06	1050000	173	52.1362450732048	56.4916666666667	51.5333333333334	0.363298349990966	0.360424935746341	-0.0486404268437501
NC_053451.1	1050000	1100000	367	110.601167294024	118.125	112.866666666667	0.297577517104717	0.181982743068965	0.087877105935247
NC_053451.1	1100000	1150000	264	79.5605127128676	75.9416666666667	73.9333333333334	-0.198565336493987	0.0962866800882252	-0.301326998967026
NC_053451.1	1150000	1200000	268	80.765975026699	81.0333333333334	71.4666666666669	0.0144525130887177	0.451898012908323	-0.49071232964903
NC_053451.1	1200000	1250000	285	85.8891898604821	86.3333333333334	78.8000000000002	0.0225864999755479	0.334867570332762	-0.352284485463685
NC_053451.1	1250000	1300000	369	111.20389845094	99.6833333333334	92.5333333333335	-0.453196819645641	0.24612115152572	-0.720362847729087
NC_053451.1	1300000	1350000	355	106.98478035253	101.35	101.6	-0.230355428867164	-0.00894186765987246	-0.215801072355839
NC_053451.1	1350000	1400000	254	76.5468569282893	79.3833333333334	77.0666666666667	0.161717934168335	0.115385878306252	0.0289028510473415
